,y_labels
0,10003
1,10004
2,10001
3,9990
4,9991
5,9980
6,10002
7,9983
8,9984
9,9976
10,9998
11,9999
12,9979
13,9995
14,9989
15,10000
16,9982
17,9994
18,9975
19,9981
20,9992
21,9993
22,9985
23,9986
24,9977
25,9978
26,9996
27,9997
28,9987
29,9988
