,y_labels
0,3
1,7
2,1
3,24
4,18
5,6
6,21
7,8
8,19
9,2
10,20
11,17
12,22
13,26
14,28
15,23
16,29
17,4
18,10
19,5
20,16
21,14
22,25
23,13
24,27
25,9
26,12
27,0
28,11
29,15
