,y_labels
0,249979
1,249991
2,249980
3,249983
4,250003
5,250002
6,250001
7,249999
8,249998
9,249997
10,249996
11,249995
12,249994
13,249992
14,249990
15,249989
16,249987
17,249985
18,249984
19,249978
20,249977
21,249974
22,249976
23,249981
24,249982
25,250000
26,249975
27,249988
28,249986
29,249993
