,y_labels
0,102
1,92
2,93
3,76
4,91
5,86
6,99
7,96
8,94
9,95
10,80
11,79
12,83
13,88
14,77
15,78
16,84
17,89
18,90
19,81
20,82
21,85
22,87
23,101
24,100
25,104
26,103
27,105
28,97
29,98
