,y_labels
0,4
1,10
2,12
3,16
4,5
5,9
6,11
7,20
8,26
9,27
10,25
11,13
12,0
13,8
14,7
15,18
16,24
17,6
18,28
19,22
20,23
21,15
22,2
23,3
24,21
25,1
26,17
27,14
28,19
29,29
