ANOVA table for Choice 1 :
              sum_sq        df         F        PR(>F)
choice_1    0.049264      15.0  6.223669  2.352687e-13
Residual  131.919379  249988.0       NaN           NaN

Tukey HSD test results for Choice 1:
     Multiple Comparison of Means - Tukey HSD, FWER=0.01     
=============================================================
   group1     group2   meandiff p-adj   lower   upper  reject
-------------------------------------------------------------
  BFIT-BFIT FFIT-AWFIT   0.0005  0.896 -0.0005  0.0015  False
  BFIT-BFIT  FFIT-BFIT   0.0012 0.0003  0.0002  0.0022   True
  BFIT-BFIT  FFIT-FFIT   0.0005  0.901 -0.0005  0.0015  False
  BFIT-BFIT  FFIT-WFIT   0.0002    1.0 -0.0008  0.0012  False
  BFIT-BFIT WFIT-AWFIT   0.0013    0.0  0.0003  0.0024   True
  BFIT-BFIT  WFIT-BFIT   0.0008 0.1437 -0.0002  0.0018  False
  BFIT-BFIT  WFIT-FFIT   0.0006  0.752 -0.0005  0.0016  False
  BFIT-BFIT  WFIT-WFIT  -0.0003 0.9993 -0.0013  0.0007  False
  BFIT-FFIT  BFIT-WFIT  -0.0002    1.0 -0.0012  0.0008  False
  BFIT-FFIT FFIT-AWFIT   0.0003 0.9958 -0.0007  0.0013  False
  BFIT-FFIT  FFIT-BFIT   0.0011 0.0033  0.0001  0.0021   True
  BFIT-FFIT  FFIT-FFIT   0.0003 0.9964 -0.0007  0.0013  False
  BFIT-FFIT  FFIT-WFIT      0.0    1.0  -0.001   0.001  False
  BFIT-FFIT WFIT-AWFIT   0.0012 0.0004  0.0002  0.0022   True
  BFIT-FFIT  WFIT-BFIT   0.0006 0.4506 -0.0003  0.0016  False
  BFIT-FFIT  WFIT-FFIT   0.0004 0.9732 -0.0006  0.0014  False
  BFIT-FFIT  WFIT-WFIT  -0.0004 0.9471 -0.0015  0.0006  False
  BFIT-WFIT FFIT-AWFIT   0.0005 0.8138 -0.0005  0.0016  False
  BFIT-WFIT  FFIT-BFIT   0.0013 0.0002  0.0002  0.0023   True
  BFIT-WFIT  FFIT-FFIT   0.0005 0.8202 -0.0005  0.0015  False
  BFIT-WFIT  FFIT-WFIT   0.0002    1.0 -0.0008  0.0013  False
  BFIT-WFIT WFIT-AWFIT   0.0014    0.0  0.0004  0.0024   True
  BFIT-WFIT  WFIT-BFIT   0.0008 0.0938 -0.0002  0.0019  False
  BFIT-WFIT  WFIT-FFIT   0.0006 0.6352 -0.0004  0.0016  False
  BFIT-WFIT  WFIT-WFIT  -0.0002 0.9999 -0.0013  0.0008  False
 FFIT-AWFIT  FFIT-BFIT   0.0007 0.2485 -0.0003  0.0017  False
 FFIT-AWFIT  FFIT-FFIT     -0.0    1.0  -0.001   0.001  False
 FFIT-AWFIT  FFIT-WFIT  -0.0003 0.9988 -0.0013  0.0007  False
 FFIT-AWFIT WFIT-AWFIT   0.0009 0.0716 -0.0001  0.0019  False
 FFIT-AWFIT  WFIT-BFIT   0.0003 0.9981 -0.0007  0.0013  False
 FFIT-AWFIT  WFIT-FFIT   0.0001    1.0 -0.0009  0.0011  False
 FFIT-AWFIT  WFIT-WFIT  -0.0008 0.1816 -0.0018  0.0002  False
  FFIT-BFIT  FFIT-FFIT  -0.0007 0.2239 -0.0017  0.0003  False
  FFIT-BFIT  FFIT-WFIT   -0.001 0.0066  -0.002    -0.0   True
  FFIT-BFIT WFIT-AWFIT   0.0001    1.0 -0.0009  0.0011  False
  FFIT-BFIT  WFIT-BFIT  -0.0004 0.9665 -0.0014  0.0006  False
  FFIT-BFIT  WFIT-FFIT  -0.0007 0.4194 -0.0017  0.0003  False
  FFIT-BFIT  WFIT-WFIT  -0.0015    0.0 -0.0025 -0.0005   True
  FFIT-FFIT  FFIT-WFIT  -0.0003  0.999 -0.0013  0.0007  False
  FFIT-FFIT WFIT-AWFIT   0.0009 0.0617 -0.0001  0.0019  False
  FFIT-FFIT  WFIT-BFIT   0.0003 0.9973 -0.0007  0.0013  False
  FFIT-FFIT  WFIT-FFIT   0.0001    1.0 -0.0009  0.0011  False
  FFIT-FFIT  WFIT-WFIT  -0.0008 0.1835 -0.0018  0.0002  False
  FFIT-WFIT WFIT-AWFIT   0.0012 0.0009  0.0001  0.0022   True
  FFIT-WFIT  WFIT-BFIT   0.0006 0.5648 -0.0004  0.0016  False
