ANOVA table for Choice 1 :
             sum_sq        df          F        PR(>F)
choice_1   0.032010      15.0  22.472328  1.166753e-62
Residual  23.739296  249990.0        NaN           NaN

Tukey HSD test results for Choice 1:
     Multiple Comparison of Means - Tukey HSD, FWER=0.01     
=============================================================
   group1     group2   meandiff p-adj   lower   upper  reject
-------------------------------------------------------------
  BFIT-BFIT  FFIT-BFIT   0.0004 0.0947 -0.0001  0.0008  False
  BFIT-BFIT  FFIT-FFIT  -0.0001 0.9978 -0.0006  0.0003  False
  BFIT-BFIT  FFIT-WFIT   0.0002 0.6851 -0.0002  0.0007  False
  BFIT-BFIT WFIT-AWFIT   0.0001    1.0 -0.0004  0.0005  False
  BFIT-BFIT  WFIT-BFIT   0.0005  0.003     0.0  0.0009   True
  BFIT-BFIT  WFIT-FFIT   0.0003 0.5298 -0.0002  0.0007  False
  BFIT-BFIT  WFIT-WFIT   0.0001 0.9991 -0.0003  0.0005  False
  BFIT-FFIT  BFIT-WFIT  -0.0006    0.0 -0.0011 -0.0002   True
  BFIT-FFIT FFIT-AWFIT    0.001    0.0  0.0005  0.0014   True
  BFIT-FFIT  FFIT-BFIT   0.0003 0.1274 -0.0001  0.0008  False
  BFIT-FFIT  FFIT-FFIT  -0.0001  0.998 -0.0006  0.0003  False
  BFIT-FFIT  FFIT-WFIT   0.0002 0.7395 -0.0002  0.0007  False
  BFIT-FFIT WFIT-AWFIT   0.0001    1.0 -0.0004  0.0005  False
  BFIT-FFIT  WFIT-BFIT   0.0005 0.0052     0.0  0.0009   True
  BFIT-FFIT  WFIT-FFIT   0.0003 0.5961 -0.0002  0.0007  False
  BFIT-FFIT  WFIT-WFIT   0.0001 0.9995 -0.0003  0.0006  False
  BFIT-WFIT FFIT-AWFIT   0.0016    0.0  0.0012   0.002   True
  BFIT-WFIT  FFIT-BFIT    0.001    0.0  0.0006  0.0014   True
  BFIT-WFIT  FFIT-FFIT   0.0005 0.0008  0.0001   0.001   True
  BFIT-WFIT  FFIT-WFIT   0.0009    0.0  0.0005  0.0013   True
  BFIT-WFIT WFIT-AWFIT   0.0007    0.0  0.0003  0.0012   True
  BFIT-WFIT  WFIT-BFIT   0.0011    0.0  0.0007  0.0015   True
  BFIT-WFIT  WFIT-FFIT   0.0009    0.0  0.0005  0.0013   True
  BFIT-WFIT  WFIT-WFIT   0.0008    0.0  0.0003  0.0012   True
 FFIT-AWFIT  FFIT-BFIT  -0.0006    0.0  -0.001 -0.0002   True
 FFIT-AWFIT  FFIT-FFIT  -0.0011    0.0 -0.0015 -0.0007   True
 FFIT-AWFIT  FFIT-WFIT  -0.0007    0.0 -0.0011 -0.0003   True
 FFIT-AWFIT WFIT-AWFIT  -0.0009    0.0 -0.0013 -0.0005   True
 FFIT-AWFIT  WFIT-BFIT  -0.0005 0.0007 -0.0009 -0.0001   True
 FFIT-AWFIT  WFIT-FFIT  -0.0007    0.0 -0.0011 -0.0003   True
 FFIT-AWFIT  WFIT-WFIT  -0.0008    0.0 -0.0013 -0.0004   True
  FFIT-BFIT  FFIT-FFIT  -0.0005 0.0008 -0.0009 -0.0001   True
  FFIT-BFIT  FFIT-WFIT  -0.0001 0.9999 -0.0005  0.0003  False
  FFIT-BFIT WFIT-AWFIT  -0.0003 0.3757 -0.0007  0.0001  False
  FFIT-BFIT  WFIT-BFIT   0.0001 0.9997 -0.0003  0.0005  False
  FFIT-BFIT  WFIT-FFIT  -0.0001    1.0 -0.0005  0.0003  False
  FFIT-BFIT  WFIT-WFIT  -0.0002 0.7289 -0.0006  0.0002  False
  FFIT-FFIT  FFIT-WFIT   0.0004 0.0442    -0.0  0.0008  False
  FFIT-FFIT WFIT-AWFIT   0.0002 0.8942 -0.0002  0.0006  False
  FFIT-FFIT  WFIT-BFIT   0.0006    0.0  0.0002   0.001   True
  FFIT-FFIT  WFIT-FFIT   0.0004 0.0196    -0.0  0.0008  False
  FFIT-FFIT  WFIT-WFIT   0.0003 0.5402 -0.0002  0.0007  False
  FFIT-WFIT WFIT-AWFIT  -0.0002 0.9629 -0.0006  0.0002  False
  FFIT-WFIT  WFIT-BFIT   0.0002 0.8447 -0.0002  0.0006  False
  FFIT-WFIT  WFIT-FFIT      0.0    1.0 -0.0004  0.0004  False
  FFIT-WFIT  WFIT-WFIT  -0.0001  0.999 -0.0005  0.0003  False
 WFIT-AWFIT  WFIT-BFIT   0.0004 0.0265    -0.0  0.0008  False
 WFIT-AWFIT  WFIT-FFIT   0.0002 0.9074 -0.0002  0.0006  False
 WFIT-AWFIT  WFIT-WFIT   0.0001    1.0 -0.0004  0.0005  False
  WFIT-BFIT  WFIT-FFIT  -0.0002 0.8943 -0.0006  0.0002  False
  WFIT-BFIT  WFIT-WFIT  -0.0003 0.1097 -0.0008  0.0001  False
  WFIT-FFIT  WFIT-WFIT  -0.0001 0.9949 -0.0005  0.0003  False
-------------------------------------------------------------

ANOVA table for Choice 2 :
             sum_sq        df          F         PR(>F)
choice_2   0.087849      15.0  61.818952  1.172493e-187
Residual  23.683457  249990.0        NaN            NaN

Tukey HSD test results for Choice 2:
     Multiple Comparison of Means - Tukey HSD, FWER=0.01     
=============================================================
   group1     group2   meandiff p-adj   lower   upper  reject
-------------------------------------------------------------
AWFIT-AWFIT AWFIT-BFIT   0.0008    0.0  0.0004  0.0012   True
AWFIT-AWFIT AWFIT-FFIT   0.0002 0.9304 -0.0002  0.0006  False
AWFIT-AWFIT AWFIT-WFIT  -0.0016    0.0 -0.0021 -0.0011   True
AWFIT-AWFIT BFIT-AWFIT  -0.0002 0.8988 -0.0006  0.0002  False
AWFIT-AWFIT  BFIT-BFIT  -0.0002 0.7563 -0.0006  0.0002  False
AWFIT-AWFIT  BFIT-FFIT  -0.0001 0.9885 -0.0005  0.0003  False
AWFIT-AWFIT  BFIT-WFIT  -0.0017    0.0 -0.0022 -0.0012   True
AWFIT-AWFIT FFIT-AWFIT  -0.0003 0.4222 -0.0007  0.0001  False
