INSTANCE,LENGTH,SMALL,LARGE,FFIT,BFIT,WFIT,AWFIT,BEST,ORACLE
GA-HardFF_20_008.bpp,0.5,0.95,0.05,0.772,1,1,0.77,WFIT,1
GA-HardFF_20_009.bpp,0.492,1,0,0.754,1,1,0.755,BFIT,1
GA-HardFF_20_010.bpp,0.57,1,0,0.729,0.994,0.994,0.729,BFIT,0.994
GA-HardFF_20_011.bpp,0.498,0.95,0.05,0.74,0.994,0.994,0.74,BFIT,0.994
GA-HardFF_20_012.bpp,0.68,0.85,0.15,0.768,0.943,0.944,0.768,WFIT,0.944
GA-HardFF_20_013.bpp,0.5,0.95,0.05,0.728,1,1,0.728,WFIT,1
GA-HardFF_20_014.bpp,0.5,0.95,0.05,0.746,1,1,0.739,BFIT,1
GA-HardFF_20_015.bpp,0.5,0.9,0.1,0.725,1,1,0.721,WFIT,1
GA-HardFF_20_016.bpp,0.441,1,0,0.717,1,1,0.717,WFIT,1
GA-HardFF_20_017.bpp,0.498,0.9,0.1,0.787,0.994,0.994,0.786,BFIT,0.994
GA-HardFF_20_018.bpp,0.5,0.95,0.05,0.795,1,1,0.814,BFIT,1
GA-HardFF_20_019.bpp,0.498,0.95,0.05,0.758,0.994,0.994,0.758,BFIT,0.994
GA-HardFF_20_020.bpp,0.533,1,0,0.722,1,1,0.718,WFIT,1
GA-HardFF_20_021.bpp,0.492,0.95,0.05,0.731,0.969,0.97,0.731,WFIT,0.97
GA-HardFF_20_022.bpp,0.5,0.9,0.1,0.771,1,1,0.771,WFIT,1
GA-HardFF_20_023.bpp,0.5,0.95,0.05,0.774,1,1,1,BFIT,1
GA-HardFF_20_024.bpp,0.513,1,0,0.777,0.988,0.988,0.777,BFIT,0.988
GA-HardWF_20_000.bpp,0.441,1,0,1,1,0.46,1,BFIT,1
GA-HardWF_20_001.bpp,0.343,1,0,1,1,0.643,1,FFIT,1
GA-HardWF_20_002.bpp,0.516,1,0,1,1,0.529,1,FFIT,1
GA-HardWF_20_003.bpp,0.5,0.85,0.15,1,1,0.399,1,BFIT,1
GA-HardWF_20_004.bpp,0.5,0.9,0.1,1,1,0.525,1,FFIT,1
GA-HardWF_20_005.bpp,0.4,0.85,0.15,1,1,0.454,1,FFIT,1
GA-HardWF_20_006.bpp,0.457,1,0,1,1,0.68,1,BFIT,1
GA-HardWF_20_007.bpp,0.4,0.9,0.1,1,1,0.454,1,BFIT,1
GA-HardWF_20_008.bpp,0.5,0.9,0.1,1,1,0.538,1,BFIT,1
GA-HardWF_20_009.bpp,0.343,1,0,1,1,0.651,1,AWFIT,1
GA-HardWF_20_010.bpp,0.5,0.95,0.05,1,1,0.532,1,AWFIT,1
GA-HardWF_20_011.bpp,0.331,1,0,1,1,0.636,1,AWFIT,1
GA-HardWF_20_012.bpp,0.413,1,0,1,1,0.466,1,FFIT,1
GA-HardWF_20_013.bpp,0.436,1,0,1,1,0.67,1,FFIT,1
GA-HardWF_20_014.bpp,0.427,1,0,1,1,0.455,1,FFIT,1
GA-HardWF_20_015.bpp,0.413,1,0,1,1,0.46,1,FFIT,1
GA-HardWF_20_016.bpp,0.4,0.95,0.05,1,1,0.455,1,AWFIT,1
GA-HardWF_20_017.bpp,0.5,0.85,0.15,1,1,0.535,1,BFIT,1
GA-HardWF_20_018.bpp,0.413,1,0,1,1,0.456,1,BFIT,1
GA-HardWF_20_019.bpp,0.5,0.8,0.2,1,1,0.396,1,AWFIT,1
GA-HardWF_20_020.bpp,0.5,0.95,0.05,1,1,0.397,1,AWFIT,1
GA-HardWF_20_021.bpp,0.31,1,0,1,1,0.623,1,BFIT,1
GA-HardWF_20_022.bpp,0.5,0.9,0.1,1,1,0.523,1,FFIT,1
GA-HardWF_20_023.bpp,0.5,0.9,0.1,1,1,0.528,1,BFIT,1
GA-HardWF_20_024.bpp,0.356,1,0,1,1,0.538,1,BFIT,1
