ANOVA table for Choice 1 :
              sum_sq        df         F    PR(>F)
choice_1    0.015724      15.0  2.514881  0.000992
Residual  104.201922  249984.0       NaN       NaN

Tukey HSD test results for Choice 1:
    Multiple Comparison of Means - Tukey HSD, FWER=0.01     
============================================================
   group1     group2   meandiff p-adj   lower  upper  reject
------------------------------------------------------------
  BFIT-BFIT  FFIT-BFIT   0.0001    1.0 -0.0008  0.001  False
  BFIT-BFIT  FFIT-FFIT   0.0002 0.9999 -0.0007 0.0011  False
  BFIT-BFIT  FFIT-WFIT   0.0006 0.5215 -0.0003 0.0015  False
  BFIT-BFIT WFIT-AWFIT  -0.0003 0.9972 -0.0012 0.0006  False
  BFIT-BFIT  WFIT-BFIT   0.0002    1.0 -0.0007 0.0011  False
  BFIT-BFIT  WFIT-FFIT   0.0003 0.9839 -0.0006 0.0012  False
  BFIT-BFIT  WFIT-WFIT   0.0002 0.9996 -0.0007 0.0011  False
  BFIT-FFIT  BFIT-WFIT  -0.0006 0.3919 -0.0015 0.0003  False
  BFIT-FFIT FFIT-AWFIT  -0.0005 0.7881 -0.0014 0.0004  False
  BFIT-FFIT  FFIT-BFIT  -0.0002    1.0 -0.0011 0.0007  False
  BFIT-FFIT  FFIT-FFIT  -0.0001    1.0  -0.001 0.0008  False
  BFIT-FFIT  FFIT-WFIT   0.0002 0.9996 -0.0006 0.0011  False
  BFIT-FFIT WFIT-AWFIT  -0.0006 0.3972 -0.0015 0.0003  False
  BFIT-FFIT  WFIT-BFIT  -0.0002    1.0 -0.0011 0.0007  False
  BFIT-FFIT  WFIT-FFIT      0.0    1.0 -0.0009 0.0009  False
  BFIT-FFIT  WFIT-WFIT  -0.0001    1.0  -0.001 0.0008  False
  BFIT-WFIT FFIT-AWFIT   0.0001    1.0 -0.0008  0.001  False
  BFIT-WFIT  FFIT-BFIT   0.0004  0.944 -0.0005 0.0013  False
  BFIT-WFIT  FFIT-FFIT   0.0005 0.7075 -0.0004 0.0014  False
  BFIT-WFIT  FFIT-WFIT   0.0009 0.0203    -0.0 0.0017  False
  BFIT-WFIT WFIT-AWFIT     -0.0    1.0 -0.0009 0.0009  False
  BFIT-WFIT  WFIT-BFIT   0.0004 0.8663 -0.0005 0.0014  False
  BFIT-WFIT  WFIT-FFIT   0.0006    0.3 -0.0003 0.0015  False
  BFIT-WFIT  WFIT-WFIT   0.0005 0.6107 -0.0004 0.0014  False
 FFIT-AWFIT  FFIT-BFIT   0.0003 0.9987 -0.0006 0.0012  False
 FFIT-AWFIT  FFIT-FFIT   0.0004 0.9613 -0.0005 0.0013  False
 FFIT-AWFIT  FFIT-WFIT   0.0007 0.1166 -0.0002 0.0016  False
 FFIT-AWFIT WFIT-AWFIT  -0.0001    1.0  -0.001 0.0008  False
 FFIT-AWFIT  WFIT-BFIT   0.0003 0.9923 -0.0006 0.0012  False
 FFIT-AWFIT  WFIT-FFIT   0.0005 0.6972 -0.0004 0.0014  False
 FFIT-AWFIT  WFIT-WFIT   0.0004 0.9255 -0.0005 0.0013  False
  FFIT-BFIT  FFIT-FFIT   0.0001    1.0 -0.0008  0.001  False
  FFIT-BFIT  FFIT-WFIT   0.0005 0.8409 -0.0004 0.0013  False
  FFIT-BFIT WFIT-AWFIT  -0.0004  0.945 -0.0013 0.0005  False
  FFIT-BFIT  WFIT-BFIT   0.0001    1.0 -0.0009  0.001  False
  FFIT-BFIT  WFIT-FFIT   0.0002 0.9997 -0.0007 0.0011  False
  FFIT-BFIT  WFIT-WFIT   0.0001    1.0 -0.0008  0.001  False
  FFIT-FFIT  FFIT-WFIT   0.0003 0.9808 -0.0005 0.0012  False
  FFIT-FFIT WFIT-AWFIT  -0.0005 0.7116 -0.0014 0.0004  False
  FFIT-FFIT  WFIT-BFIT  -0.0001    1.0  -0.001 0.0008  False
  FFIT-FFIT  WFIT-FFIT   0.0001    1.0 -0.0008  0.001  False
  FFIT-FFIT  WFIT-WFIT      0.0    1.0 -0.0009 0.0009  False
  FFIT-WFIT WFIT-AWFIT  -0.0009 0.0212 -0.0018    0.0  False
  FFIT-WFIT  WFIT-BFIT  -0.0004 0.9374 -0.0013 0.0005  False
  FFIT-WFIT  WFIT-FFIT  -0.0002 0.9999 -0.0011 0.0007  False
  FFIT-WFIT  WFIT-WFIT  -0.0003 0.9938 -0.0012 0.0006  False
 WFIT-AWFIT  WFIT-BFIT   0.0004 0.8685 -0.0005 0.0014  False
 WFIT-AWFIT  WFIT-FFIT   0.0006 0.3051 -0.0003 0.0015  False
 WFIT-AWFIT  WFIT-WFIT   0.0005 0.6154 -0.0004 0.0014  False
  WFIT-BFIT  WFIT-FFIT   0.0002    1.0 -0.0007 0.0011  False
  WFIT-BFIT  WFIT-WFIT   0.0001    1.0 -0.0008  0.001  False
  WFIT-FFIT  WFIT-WFIT  -0.0001    1.0  -0.001 0.0008  False
------------------------------------------------------------

ANOVA table for Choice 2 :
              sum_sq        df          F        PR(>F)
choice_2    0.103939      15.0  16.637713  1.613276e-44
Residual  104.113707  249984.0        NaN           NaN

Tukey HSD test results for Choice 2:
     Multiple Comparison of Means - Tukey HSD, FWER=0.01     
=============================================================
   group1     group2   meandiff p-adj   lower   upper  reject
-------------------------------------------------------------
AWFIT-AWFIT AWFIT-BFIT   0.0001    1.0 -0.0007   0.001  False
AWFIT-AWFIT AWFIT-FFIT     -0.0    1.0 -0.0009  0.0008  False
AWFIT-AWFIT AWFIT-WFIT   0.0011 0.0002  0.0002   0.002   True
AWFIT-AWFIT BFIT-AWFIT  -0.0002    1.0 -0.0011  0.0007  False
AWFIT-AWFIT  BFIT-BFIT  -0.0003 0.9891 -0.0012  0.0006  False
AWFIT-AWFIT  BFIT-FFIT   0.0003 0.9988 -0.0006  0.0012  False
AWFIT-AWFIT  BFIT-WFIT   0.0005 0.7372 -0.0004  0.0014  False
AWFIT-AWFIT FFIT-AWFIT  -0.0013    0.0 -0.0022 -0.0004   True
AWFIT-AWFIT  FFIT-BFIT  -0.0003  0.997 -0.0012  0.0006  False
AWFIT-AWFIT  FFIT-FFIT   0.0005 0.8331 -0.0004  0.0013  False
AWFIT-AWFIT  FFIT-WFIT   0.0014    0.0  0.0005  0.0023   True
AWFIT-AWFIT WFIT-AWFIT  -0.0006 0.2911 -0.0015  0.0003  False
AWFIT-AWFIT  WFIT-BFIT      0.0    1.0 -0.0009  0.0009  False
AWFIT-AWFIT  WFIT-FFIT  -0.0005 0.8218 -0.0014  0.0004  False
AWFIT-AWFIT  WFIT-WFIT   0.0007 0.1875 -0.0002  0.0016  False
 AWFIT-BFIT AWFIT-FFIT  -0.0002    1.0 -0.0011  0.0007  False
 AWFIT-BFIT AWFIT-WFIT    0.001 0.0035  0.0001  0.0018   True
 AWFIT-BFIT BFIT-AWFIT  -0.0003  0.984 -0.0012  0.0005  False
 AWFIT-BFIT  BFIT-BFIT  -0.0005 0.7909 -0.0014  0.0004  False
 AWFIT-BFIT  BFIT-FFIT   0.0001    1.0 -0.0008   0.001  False
 AWFIT-BFIT  BFIT-WFIT   0.0003 0.9824 -0.0006  0.0012  False
 AWFIT-BFIT FFIT-AWFIT  -0.0014    0.0 -0.0023 -0.0005   True
 AWFIT-BFIT  FFIT-BFIT  -0.0004  0.881 -0.0013  0.0005  False
 AWFIT-BFIT  FFIT-FFIT   0.0003 0.9943 -0.0006  0.0012  False
 AWFIT-BFIT  FFIT-WFIT   0.0013    0.0  0.0004  0.0022   True
 AWFIT-BFIT WFIT-AWFIT  -0.0008 0.0579 -0.0017  0.0001  False
 AWFIT-BFIT  WFIT-BFIT  -0.0001    1.0  -0.001  0.0008  False
 AWFIT-BFIT  WFIT-FFIT  -0.0006 0.3777 -0.0015  0.0003  False
 AWFIT-BFIT  WFIT-WFIT   0.0005 0.6164 -0.0004  0.0014  False
 AWFIT-FFIT AWFIT-WFIT   0.0011 0.0001  0.0002   0.002   True
 AWFIT-FFIT BFIT-AWFIT  -0.0001    1.0  -0.001  0.0007  False
 AWFIT-FFIT  BFIT-BFIT  -0.0003  0.998 -0.0012  0.0006  False
 AWFIT-FFIT  BFIT-FFIT   0.0003  0.994 -0.0006  0.0012  False
 AWFIT-FFIT  BFIT-WFIT   0.0005 0.6082 -0.0004  0.0014  False
 AWFIT-FFIT FFIT-AWFIT  -0.0012    0.0 -0.0021 -0.0004   True
 AWFIT-FFIT  FFIT-BFIT  -0.0002 0.9996 -0.0011  0.0007  False
 AWFIT-FFIT  FFIT-FFIT   0.0005 0.7207 -0.0004  0.0014  False
 AWFIT-FFIT  FFIT-WFIT   0.0015    0.0  0.0006  0.0024   True
 AWFIT-FFIT WFIT-AWFIT  -0.0006   0.44 -0.0015  0.0003  False
 AWFIT-FFIT  WFIT-BFIT   0.0001    1.0 -0.0009   0.001  False
 AWFIT-FFIT  WFIT-FFIT  -0.0004 0.9193 -0.0013  0.0005  False
 AWFIT-FFIT  WFIT-WFIT   0.0007 0.1204 -0.0002  0.0016  False
 AWFIT-WFIT BFIT-AWFIT  -0.0013    0.0 -0.0022 -0.0004   True
 AWFIT-WFIT  BFIT-BFIT  -0.0014    0.0 -0.0023 -0.0005   True
 AWFIT-WFIT  BFIT-FFIT  -0.0008  0.027 -0.0017  0.0001  False
 AWFIT-WFIT  BFIT-WFIT  -0.0006 0.3944 -0.0015  0.0003  False
 AWFIT-WFIT FFIT-AWFIT  -0.0024    0.0 -0.0033 -0.0015   True
 AWFIT-WFIT  FFIT-BFIT  -0.0014    0.0 -0.0023 -0.0005   True
 AWFIT-WFIT  FFIT-FFIT  -0.0006 0.2736 -0.0015  0.0003  False
 AWFIT-WFIT  FFIT-WFIT   0.0003 0.9906 -0.0006  0.0012  False
 AWFIT-WFIT WFIT-AWFIT  -0.0017    0.0 -0.0026 -0.0008   True
 AWFIT-WFIT  WFIT-BFIT  -0.0011 0.0003  -0.002 -0.0002   True
 AWFIT-WFIT  WFIT-FFIT  -0.0016    0.0 -0.0025 -0.0007   True
 AWFIT-WFIT  WFIT-WFIT  -0.0004 0.9074 -0.0013  0.0005  False
 BFIT-AWFIT  BFIT-BFIT  -0.0001    1.0  -0.001  0.0008  False
 BFIT-AWFIT  BFIT-FFIT   0.0005 0.8206 -0.0004  0.0014  False
 BFIT-AWFIT  BFIT-WFIT   0.0007 0.1773 -0.0002  0.0016  False
 BFIT-AWFIT FFIT-AWFIT  -0.0011 0.0002  -0.002 -0.0002   True
 BFIT-AWFIT  FFIT-BFIT  -0.0001    1.0  -0.001  0.0008  False
 BFIT-AWFIT  FFIT-FFIT   0.0007  0.252 -0.0002  0.0015  False
 BFIT-AWFIT  FFIT-WFIT   0.0016    0.0  0.0007  0.0025   True
 BFIT-AWFIT WFIT-AWFIT  -0.0004 0.8726 -0.0013  0.0005  False
 BFIT-AWFIT  WFIT-BFIT   0.0002    1.0 -0.0007  0.0011  False
 BFIT-AWFIT  WFIT-FFIT  -0.0003 0.9989 -0.0012  0.0006  False
 BFIT-AWFIT  WFIT-WFIT   0.0009 0.0139    -0.0  0.0018  False
  BFIT-BFIT  BFIT-FFIT   0.0006 0.4141 -0.0003  0.0015  False
  BFIT-BFIT  BFIT-WFIT   0.0008  0.034 -0.0001  0.0017  False
