ANOVA table for Choice 1 :
             sum_sq        df         F        PR(>F)
choice_1   0.029919      15.0  5.949394  1.381979e-12
Residual  83.811334  249987.0       NaN           NaN

Tukey HSD test results for Choice 1:
     Multiple Comparison of Means - Tukey HSD, FWER=0.01     
=============================================================
   group1     group2   meandiff p-adj   lower   upper  reject
-------------------------------------------------------------
  BFIT-BFIT FFIT-AWFIT  -0.0006 0.2225 -0.0014  0.0002  False
  BFIT-BFIT  FFIT-BFIT   0.0001    1.0 -0.0007  0.0009  False
  BFIT-BFIT  FFIT-FFIT   0.0001    1.0 -0.0007   0.001  False
  BFIT-BFIT  FFIT-WFIT   0.0005 0.5867 -0.0003  0.0013  False
  BFIT-BFIT WFIT-AWFIT  -0.0004 0.8335 -0.0012  0.0004  False
  BFIT-BFIT  WFIT-BFIT  -0.0005 0.4403 -0.0013  0.0003  False
  BFIT-BFIT  WFIT-FFIT  -0.0005 0.5131 -0.0013  0.0003  False
  BFIT-BFIT  WFIT-WFIT   0.0001    1.0 -0.0007  0.0009  False
  BFIT-FFIT  BFIT-WFIT  -0.0003 0.9638 -0.0012  0.0005  False
  BFIT-FFIT FFIT-AWFIT  -0.0008  0.014 -0.0016     0.0  False
  BFIT-FFIT  FFIT-BFIT  -0.0001    1.0 -0.0009  0.0007  False
  BFIT-FFIT  FFIT-FFIT     -0.0    1.0 -0.0008  0.0008  False
  BFIT-FFIT  FFIT-WFIT   0.0003 0.9854 -0.0005  0.0011  False
  BFIT-FFIT WFIT-AWFIT  -0.0006 0.2167 -0.0014  0.0002  False
  BFIT-FFIT  WFIT-BFIT  -0.0007 0.0397 -0.0015  0.0001  False
  BFIT-FFIT  WFIT-FFIT  -0.0007 0.0562 -0.0015  0.0001  False
  BFIT-FFIT  WFIT-WFIT  -0.0001    1.0 -0.0009  0.0007  False
  BFIT-WFIT FFIT-AWFIT  -0.0005 0.7478 -0.0013  0.0004  False
  BFIT-WFIT  FFIT-BFIT   0.0002 0.9997 -0.0006   0.001  False
  BFIT-WFIT  FFIT-FFIT   0.0003 0.9907 -0.0005  0.0011  False
  BFIT-WFIT  FFIT-WFIT   0.0006 0.1495 -0.0002  0.0015  False
  BFIT-WFIT WFIT-AWFIT  -0.0003 0.9977 -0.0011  0.0006  False
  BFIT-WFIT  WFIT-BFIT  -0.0004 0.9333 -0.0012  0.0004  False
  BFIT-WFIT  WFIT-FFIT  -0.0003 0.9562 -0.0012  0.0005  False
  BFIT-WFIT  WFIT-WFIT   0.0002 0.9986 -0.0006  0.0011  False
 FFIT-AWFIT  FFIT-BFIT   0.0007  0.099 -0.0001  0.0015  False
 FFIT-AWFIT  FFIT-FFIT   0.0008 0.0322 -0.0001  0.0016  False
 FFIT-AWFIT  FFIT-WFIT   0.0011    0.0  0.0003  0.0019   True
 FFIT-AWFIT WFIT-AWFIT   0.0002 0.9999 -0.0006   0.001  False
 FFIT-AWFIT  WFIT-BFIT   0.0001    1.0 -0.0007  0.0009  False
 FFIT-AWFIT  WFIT-FFIT   0.0001    1.0 -0.0007  0.0009  False
 FFIT-AWFIT  WFIT-WFIT   0.0007 0.0663 -0.0001  0.0015  False
  FFIT-BFIT  FFIT-FFIT   0.0001    1.0 -0.0007  0.0009  False
  FFIT-BFIT  FFIT-WFIT   0.0004 0.7812 -0.0004  0.0012  False
  FFIT-BFIT WFIT-AWFIT  -0.0005  0.627 -0.0013  0.0003  False
  FFIT-BFIT  WFIT-BFIT  -0.0006 0.2296 -0.0014  0.0002  False
  FFIT-BFIT  WFIT-FFIT  -0.0006 0.2868 -0.0014  0.0002  False
  FFIT-BFIT  WFIT-WFIT      0.0    1.0 -0.0008  0.0008  False
  FFIT-FFIT  FFIT-WFIT   0.0003 0.9554 -0.0005  0.0012  False
  FFIT-FFIT WFIT-AWFIT  -0.0006 0.3526 -0.0014  0.0003  False
  FFIT-FFIT  WFIT-BFIT  -0.0007 0.0853 -0.0014  0.0001  False
  FFIT-FFIT  WFIT-FFIT  -0.0006 0.1148 -0.0014  0.0002  False
  FFIT-FFIT  WFIT-WFIT     -0.0    1.0 -0.0009  0.0008  False
  FFIT-WFIT WFIT-AWFIT  -0.0009 0.0018 -0.0017 -0.0001   True
  FFIT-WFIT  WFIT-BFIT   -0.001 0.0001 -0.0018 -0.0002   True
  FFIT-WFIT  WFIT-FFIT   -0.001 0.0002 -0.0018 -0.0002   True
  FFIT-WFIT  WFIT-WFIT  -0.0004 0.8771 -0.0012  0.0004  False
 WFIT-AWFIT  WFIT-BFIT  -0.0001    1.0 -0.0009  0.0007  False
 WFIT-AWFIT  WFIT-FFIT  -0.0001    1.0 -0.0009  0.0007  False
 WFIT-AWFIT  WFIT-WFIT   0.0005 0.5174 -0.0003  0.0013  False
  WFIT-BFIT  WFIT-FFIT      0.0    1.0 -0.0008  0.0008  False
  WFIT-BFIT  WFIT-WFIT   0.0006 0.1622 -0.0002  0.0014  False
  WFIT-FFIT  WFIT-WFIT   0.0006 0.2082 -0.0002  0.0014  False
-------------------------------------------------------------

ANOVA table for Choice 2 :
             sum_sq        df          F         PR(>F)
choice_2   0.242000      15.0  48.243465  2.791666e-144
Residual  83.599253  249987.0        NaN            NaN

Tukey HSD test results for Choice 2:
     Multiple Comparison of Means - Tukey HSD, FWER=0.01     
=============================================================
   group1     group2   meandiff p-adj   lower   upper  reject
-------------------------------------------------------------
AWFIT-AWFIT AWFIT-BFIT   0.0003 0.9804 -0.0005  0.0011  False
AWFIT-AWFIT AWFIT-FFIT   0.0003 0.9443 -0.0004  0.0011  False
AWFIT-AWFIT AWFIT-WFIT  -0.0015    0.0 -0.0023 -0.0006   True
AWFIT-AWFIT BFIT-AWFIT   0.0012    0.0  0.0004   0.002   True
AWFIT-AWFIT  BFIT-BFIT   0.0008 0.0166    -0.0  0.0016  False
AWFIT-AWFIT  BFIT-FFIT      0.0    1.0 -0.0008  0.0008  False
